,Mnemonic,TotalTrades
0,SAP,46683257207.46943
1,ALV,42626118300.78729
2,SIE,34900077671.01403
3,WDI,34194797398.815582
4,BAS,28783913409.25585
5,BAYN,28556531396.369473
6,LIN,27576000043.514236
7,ADS,26987466725.281677
8,DAI,25789789183.28218
9,VOW3,23995654589.47339
10,DTE,23555490894.29389
11,MUV2,19309009112.970673
12,IFX,19106876565.7432
13,DBK,18039446891.71085
14,BMW,15280509620.05096
15,DPW,15241125813.436623
16,LHA,13511539575.161152
17,EOAN,12246244752.725163
18,DB1,11631480430.558784
19,RWE,11552659329.619482
20,FRE,10437190784.373402
21,VNA,9693416375.414577
22,CON,9573385132.851093
23,MTX,8906554609.111008
24,FME,8229612551.25774
25,MRK,7683573943.186195
26,CBK,7029220488.604182
27,1COV,6621686399.161467
28,HEN3,6534750020.546989
29,HEI,6423441379.556103
30,BEI,5482747991.821968
31,DWNI,4959342420.524986
32,DHER,4267631975.319187
33,PAH3,3996299494.454994
34,TKA,3919868809.0786963
35,AT1,3903150890.4516854
36,QIA,3872917111.59886
37,TMV,3851840732.7005615
38,PUM,3737311314.288723
39,AIR,3553024348.123867
40,HNR1,3477362717.169014
41,SY1,3465150451.3143997
42,HFG,3396807719.4274235
43,LEG,3230173447.479927
44,EVK,3141306034.335825
45,ZAL,3074379208.422064
46,G24,3057019148.787487
47,SHL,3020095564.64225
48,TUI1,3017194261.737417
49,PSM,2755449804.984704
50,SRT3,2649107092.7290955
51,TL0,2637470579.6925354
52,VAR1,2480788284.4554024
53,EVT,2479165735.8674736
54,BOSS,2458411781.145529
55,NEM,2375440675.017376
56,BNR,2177957694.5269604
57,MOR,2150995950.5929565
58,HOT,2095364400.9045563
59,LXS,2032062949.5730534
60,BC8,2029666451.108101
61,KBX,2006990032.2867355
62,FRA,1997733209.908905
63,AFX,1995537206.343628
64,RHM,1883330666.2134056
65,RAA,1840482607.6235352
66,APC,1793036625.6727905
67,UN01,1714971357.389042
68,WAF,1695748556.9083748
69,DLG,1679962759.4025497
70,UTDI,1659891449.4153862
71,VOW,1653916473.453865
72,FNTN,1640380368.197425
73,KGX,1633114243.3747787
74,O2D,1604428926.42249
75,SDF,1589080145.0772557
76,AMZ,1532434379.7341309
77,EVD,1526511000.9250488
78,G1A,1407039411.7900925
79,MSF,1375444300.1715393
80,B4B,1314436647.3477254
81,TEG,1286016723.4481735
82,RIB,1234602263.8459835
83,HEN,1180362861.4855232
84,COK,1147253640.627575
85,R6C,1097092956.0817347
86,NDA,1092989034.0448418
87,WCH,1081521563.2781448
88,AOX,1031229398.0730572
89,ARL,1014359785.0545301
90,PBB,990213782.9981647
91,GXI,928532512.3425522
92,SAX,925815270.333107
93,DRI,872385612.5295286
94,OSR,862494614.1425476
95,SOW,859944688.7519188
96,AIXA,845944965.7059231
97,COP,840732663.164917
98,HLE,816682050.7758064
99,FPE3,810420388.2836266
100,SAE,805392113.7195892
101,RRTL,801299709.8145161
102,BPE5,795799176.4382172
103,DUE,779137008.8748169
104,SIX2,763186433.7962646
105,GYC,713262165.0306168
106,ABEA,711479425.9244385
107,DRW3,698831822.7214966
108,AHLA,690693199.4401398
109,GAZ,678931710.4855976
110,NDX1,659929821.1361866
111,BMW3,654465267.1396141
112,GLJ,652149670.3076439
113,TLX,624071272.5155659
114,ISR,617213712.473465
115,AR4,612996069.6888714
116,SZU,612646236.9384003
117,DEQ,609708391.4342031
118,SZG,604321555.0780525
119,CCAP,584356656.8657265
120,CAP,582665557.2432055
121,SHA,571830580.8465142
122,FIE,560317939.1026535
123,DWS,536739064.374609
124,LPK,521475055.97643375
125,ABR,515637304.5014572
126,SANT,492253232.12689304
127,RKET,489810300.1134186
128,HYQ,479887886.5
129,EUZ,466036960.1046295
130,TLG,463690013.58386135
131,ADJ,461913157.93581104
132,FB2A,447267648.56204224
133,GBF,438333072.37578297
134,JEN,432640488.0347233
135,BCO,431904686.28543854
136,CEC,426287269.17215264
137,AMD,423253860.6729584
138,HLAG,410657355.92840576
139,R6C3,407763223.3449955
140,TOTB,402255425.51234055
141,KRN,390691605.7372322
142,ZO1,388109252.4521637
143,GIS,381806427.37430954
144,NOA3,377209310.3461065
145,BRYN,366952299.28616333
146,DIC,363296655.8787813
147,JUN3,356675597.2542553
148,IGY,345316946.3299866
149,INN1,342591109.0530734
150,S92,329870936.85445404
151,OSRD,305242795.53131866
152,DEZ,302717040.8945708
153,NVD,301330749.332428
154,AXA,294233276.37604904
155,NOEJ,290809321.6915598
156,AAD,290599514.0646744
157,BVB,288980956.7585645
158,FTK,287310672.91973114
159,VODI,280334665.39590573
160,WAC,271284280.10737514
161,SIX3,264662812.5838623
162,PAT,261995810.1860752
163,NFC,260681834.46588135
164,WDP,256669034.56786346
165,3V64,254966797.08761597
166,MOH,253173693.0074463
167,2PP,248093409.4584198
168,KCO,242832424.03889346
169,DMP,239376599.0356388
170,LEO,238372699.43578815
171,M4I,231855906.68785095
172,GWD,231425506.1534586
173,ABEC,227785858.1578369
174,HHFA,215398250.4866295
175,STM,215023102.01490784
176,BBZA,211567964.22830963
177,SHF,209781275.94465256
178,JNJ,199820784.15118408
179,BFSA,199663330.55963516
180,XONA,195455261.68258667
181,CCC3,189850930.98228073
182,HBH,187866025.11071396
183,LNSX,185386292.01532936
184,PFV,185228405.19418335
185,SNW,183665238.68156433
186,ARRD,181439979.67015314
187,8TRA,169704186.33730602
188,NWO,165685789.01852417
189,MDO,160609429.13939667
190,HAB,158127059.14404774
191,UNI2,154192102.02139664
192,JST,151915306.02532387
193,CIS,145235967.12871933
194,INS,144214440.6464758
195,NOVC,143234858.87522888
196,PFE,139750487.5030346
197,ADL,138793487.76941824
198,SNH,136607775.51703903
199,CWC,135224661.53772736
200,ADV,134532495.25921726
201,SBS,131191085.99848557
202,SFQ,130332236.53115773
203,ACX,128635050.84079361
204,RHK,128432052.35172081
205,RIO1,128233141.39120865
206,SKB,127512325.49800587
207,TNE5,125615867.46131921
208,PRG,125053073.62339783
209,KWS,122549608.81921005
210,GEC,120676104.88375235
211,TTK,119498495.82812548
212,GS7,119171955.62331486
213,VBK,118299402.82698298
214,D6H,116880442.76441193
215,INL,116181123.12152863
216,FPE,115236163.35233688
217,SGL,115153838.18258381
218,MAN,112120883.23731995
219,DRW8,106704530.76045609
220,1NBA,103506924.07320023
221,NB2,103195812.17536736
222,ZIL2,100473774.37700891
223,AAG,97025195.7693305
224,BMT,96369242.12657356
225,NKE,96199322.03583145
226,IBM,96010605.23773193
227,GFT,95693728.79691172
228,CE2,94010116.09562397
229,VWS,85899182.10806274
230,SRT,85383750.5
231,ITB,83571920.05616951
232,INH,82484578.74365807
233,TC1,82399478.92136669
234,BYW6,80992375.92279816
235,PNE3,79970611.39612818
236,BSN,78944711.89095688
237,ZEG,77770760.06552124
238,3RB,77178098.08324814
239,ASME,76481424.92288208
240,DBAN,74844493.5068264
241,M0Y,74809037.66489792
242,SRB,74709991.02089691
243,POH1,74628962.02225256
244,HDD,73809349.01613581
245,COM,73528221.6006031
246,WSU,72718104.92845154
247,SPR,72363832.31167984
248,SMHN,70650724.65765667
249,TPE,70525783.81759834
